"car_value","salary_range","debt_to_income_ratio","loan_length","repaid_loan_on_prev_car","size_of_downpayment","driver_tenure","repaid"
39811,"40K - 60K €",0.632950219,19,FALSE,"40%",0.212653296,1
12679,"40K - 60K €",0.718626793,7,TRUE,"10%",4.927548591,0
19847,"20K - 40K €",0.721723506,17,FALSE,"0%",0.520816661,1
22652,"20K - 40K €",0.705992339,16,FALSE,"10%",0.453648661,1
21268,"60K+ €",0.671887973,21,TRUE,"30%",5.695263048,1
13462,"20K - 40K €",0.583283476,19,FALSE,"30%",1.690227006,1
45775,"0 - 20K €",0.609414371,20,TRUE,"20%",5.941544399,0
10251,"20K - 40K €",0.71843569,9,TRUE,"10%",4.175948419,1
56481,"60K+ €",0.343627488,13,FALSE,"30%",NA,1
20400,"0 - 20K €",0.700685622,17,TRUE,"10%",6.921274652,0
42202,"60K+ €",0.726476213,6,TRUE,"20%",3.551001124,0
10359,"20K - 40K €",0.728310924,13,TRUE,"30%",6.705039031,1
13368,"0 - 20K €",0.375028824,17,FALSE,"20%",6.183096843,0
15232,"40K - 60K €",0.659349237,21,FALSE,"20%",1.704015235,1
31178,"20K - 40K €",0.537255191,7,TRUE,"20%",5.818321964,1
10873,"20K - 40K €",0.680729047,17,TRUE,"0%",1.327784225,1
12746,"0 - 20K €",0.308615487,18,TRUE,"40%",6.547673192,0
15215,"40K - 60K €",0.730512091,6,TRUE,"0%",6.828728581,0
23698,"20K - 40K €",0.703358382,6,FALSE,"30%",6.780049192,0
12670,"40K - 60K €",0.715440207,20,TRUE,"40%",4.550705115,1
20359,"0 - 20K €",0.559170971,6,TRUE,"40%",4.648606459,0
10911,"20K - 40K €",0.621723323,9,TRUE,"20%",NA,0
28072,"0 - 20K €",0.453676989,20,TRUE,"10%",5.713691989,1
28389,"0 - 20K €",0.269863571,16,FALSE,"40%",6.94102,0
60070,"0 - 20K €",0.508534044,21,TRUE,"40%",6.798900286,0
15855,"0 - 20K €",0.270542091,18,TRUE,"20%",4.301077513,0
20626,"0 - 20K €",0.68900585,16,TRUE,"40%",6.498707207,1
21247,"20K - 40K €",0.382939943,6,TRUE,"40%",6.770174738,0
15620,"40K - 60K €",0.726792364,20,FALSE,"20%",2.1830491,1
