"Overall","Feature"
81.4387203955583,"loan_length"
55.5137390630895,"driver_tenure"
49.7590789157685,"debt_to_income_ratio"
23.2669596905157,"repaid_loan_on_prev_car"
20.4877406179095,"`\`salary_range.0-20K\``"
7.45521448773587,"car_value"
7.01775651310484,"`\`size_of_downpayment.40%\``"
6.96581529176426,"`\`salary_range.20-40K\``"
6.90487394793299,"`\`salary_range.60K+\``"
6.71190114420811,"`\`size_of_downpayment.0%\``"
3.18555972032157,"`\`size_of_downpayment.30%\``"
3.14779960315617,"`\`size_of_downpayment.20%\``"
