"","Not_Repaid","Repaid"
"car_value",23.2669337331124,23.2669337331124
"salary_range20K - 40K €",13.9321456944247,13.9321456944247
"salary_range0 - 20K €",38.9844374520451,38.9844374520451
"salary_range60K+ €",12.7687585530207,12.7687585530207
"salary_rangeMissing",0,0
"debt_to_income_ratio",61.3875710234657,61.3875710234657
"loan_length",100,100
"repaid_loan_on_prev_car",22.2135588671127,22.2135588671127
"driver_tenure",60.5377269628438,60.5377269628438
"payment_to_income",38.54951564803,38.54951564803
"downpayment_amount",18.9957000287677,18.9957000287677
