"car_value","debt_to_income_ratio","loan_length","repaid_loan_on_prev_car","payment_to_income","downpayment_amount","loan_to_value_ratio","driver_tenure","repaid","salary_range.0...20K..","salary_range.20K...40K..","salary_range.40K...60K..","salary_range.60K..."
12679,0.718626793,7,1,0.464511921252081,12.679,0.999,4.927548591,"Not_Repaid",0,0,1,0
19847,0.721723506,17,0,0.309689932016599,0,1,0.520816661,"Repaid",0,1,0,0
22652,0.705992339,16,0,0.37395273327093,22.652,0.999,0.453648661,"Repaid",0,1,0,0
13462,0.583283476,19,0,0.188608152828407,40.386,0.997,1.690227006,"Repaid",0,1,0,0
45775,0.609414371,20,1,0.611856970043308,91.55,0.998,5.941544399,"Not_Repaid",1,0,0,0
10251,0.71843569,9,1,0.294031426220779,10.251,0.999,4.175948419,"Repaid",0,1,0,0
56481,0.343627488,13,0,1.13412206378124,169.443,0.997,4.00244090450343,"Repaid",0,0,0,1
42202,0.726476213,6,1,1.7960742220172,84.404,0.998,3.551001124,"Not_Repaid",0,0,0,1
10359,0.728310924,13,1,0.208005709153696,31.077,0.997,6.705039031,"Repaid",0,1,0,0
15232,0.659349237,21,0,0.194535689791239,30.464,0.998,1.704015235,"Repaid",0,0,1,0
31178,0.537255191,7,1,1.14110384344718,62.356,0.998,5.818321964,"Repaid",0,1,0,0
10873,0.680729047,17,1,0.169660836943441,0,1,1.327784225,"Repaid",0,1,0,0
12746,0.308615487,18,1,0.187696759201975,50.984,0.996,6.547673192,"Not_Repaid",1,0,0,0
15215,0.730512091,6,1,0.648832599277312,0,1,6.828728581,"Not_Repaid",0,0,1,0
12670,0.715440207,20,1,0.169015669771152,50.68,0.996,4.550705115,"Repaid",0,0,1,0
20359,0.559170971,6,1,0.864721955776014,81.436,0.996,4.648606459,"Not_Repaid",1,0,0,0
10911,0.621723323,9,1,0.312649058942068,21.822,0.998,4.99079970272025,"Not_Repaid",0,1,0,0
28072,0.453676989,20,1,0.37560369924322,28.072,0.999,5.713691989,"Repaid",1,0,0,0
28389,0.269863571,16,0,0.467255157693855,113.556,0.996,6.94102,"Not_Repaid",1,0,0,0
60070,0.508534044,21,1,0.765647356307723,240.28,0.996,6.798900286,"Not_Repaid",1,0,0,0
15855,0.270542091,18,1,0.233948523807533,31.71,0.998,4.301077513,"Not_Repaid",1,0,0,0
20626,0.68900585,16,1,0.339483774792823,82.504,0.996,6.498707207,"Repaid",1,0,0,0
15620,0.726792364,20,0,0.208786583770103,31.24,0.998,2.1830491,"Repaid",0,0,1,0
11755,0.291282379,15,0,0.205907944912696,35.265,0.997,2.881125097,"Not_Repaid",1,0,0,0
19740,0.723628181,18,1,0.290981801406712,59.22,0.997,6.484235775,"Repaid",1,0,0,0
14060,0.72216995,21,1,0.179207621602906,56.24,0.996,1.050151616,"Repaid",0,0,0,1
11770,0.706208233,16,1,0.193917182217846,35.31,0.997,3.203181703,"Repaid",0,1,0,0
28322,0.713203525,20,1,0.379328030294703,0,1,6.769380189,"Repaid",0,1,0,0
10459,0.464928195,8,1,0.335714894110852,31.377,0.997,6.507537264,"Not_Repaid",1,0,0,0
12229,0.298460794,14,0,0.229450919103406,0,1,3.687937563,"Not_Repaid",1,0,0,0
82302,0.731761341,19,0,1.15308484579435,246.906,0.997,0.040040364,"Repaid",0,0,0,1
62649,0.714754098,6,1,2.66627775781137,125.298,0.998,0.110059305,"Repaid",0,1,0,0
13034,0.59683112,13,1,0.261718931664183,39.102,0.997,1.927629579,"Not_Repaid",1,0,0,0
21286,0.697222299,21,0,0.271582031764265,63.858,0.997,2.74309145007717,"Repaid",0,0,1,0
63403,0.701121327,6,1,2.69566345659569,190.209,0.997,0.111071992,"Repaid",0,1,0,0
43052,0.630547258,10,0,1.11280916486394,129.156,0.997,1.65072686929351,"Repaid",0,0,0,1
15805,0.710574729,20,0,0.21147109099954,15.805,0.999,1.614859552,"Repaid",0,1,0,0
70962,0.617976582,18,1,1.0481292886172,70.962,0.999,6.181693879,"Repaid",0,1,0,0
64468,0.699712089,15,0,1.13039453928322,128.936,0.998,0.291363883,"Repaid",0,1,0,0
76071,0.683488726,15,0,1.33117078025603,304.284,0.996,0.398841153,"Repaid",0,0,1,0
17221,0.56808778,16,1,0.284579123519541,0,1,6.093308245,"Not_Repaid",1,0,0,0
11614,0.284381163,12,0,0.251560620234125,46.456,0.996,5.75181818,"Not_Repaid",1,0,0,0
16058,0.70427151,20,0,0.214856234056983,16.058,0.999,1.409060367,"Repaid",0,1,0,0
13499,0.7274695,20,1,0.180435985551384,26.998,0.998,5.998274016,"Repaid",0,0,1,0
60228,0.535330167,6,0,2.55810570030344,240.912,0.996,6.680694132,"Not_Repaid",0,1,0,0
35560,0.728879944,7,1,1.30409168690135,0,1,4.40015226,"Not_Repaid",0,0,0,1
17761,0.730894709,14,1,0.332580523235522,35.522,0.998,1.12337008,"Repaid",0,1,0,0
14034,0.724585063,19,1,0.196424894168964,56.136,0.996,6.038809355,"Repaid",0,0,1,0
13299,0.697276118,6,1,0.565991921676858,26.598,0.998,6.604617512,"Not_Repaid",0,1,0,0
12351,0.266800487,14,0,0.23104476710611,37.053,0.997,5.285965976,"Not_Repaid",1,0,0,0
36026,0.537119674,11,1,0.848478749985303,144.104,0.996,6.84042447,"Repaid",1,0,0,0
10801,0.639811534,21,1,0.137806893032314,32.403,0.997,4.00822891,"Repaid",0,1,0,0
16063,0.570076004,7,0,0.586721998527267,64.252,0.996,4.06970942777933,"Not_Repaid",0,1,0,0
43904,0.526809275,19,0,0.615113084369214,131.712,0.997,6.120310477,"Not_Repaid",1,0,0,0
14032,0.291890949,16,0,0.231184868384096,42.096,0.997,6.449006112,"Not_Repaid",1,0,0,0
16061,0.619550329,13,1,0.322823682489507,32.122,0.998,5.089009905,"Repaid",0,0,1,0
74047,0.507248377,21,1,0.944744654047192,222.141,0.997,6.619925925,"Not_Repaid",1,0,0,0
16305,0.690454545,13,1,0.3273996609471,48.915,0.997,4.89962673402503,"Not_Repaid",1,0,0,0
48120,0.404062776,6,0,2.04383420167699,192.48,0.996,6.629639212,"Not_Repaid",1,0,0,0
18913,0.728725372,8,1,0.60889963055996,0,1,5.826372256,"Not_Repaid",0,0,1,0
46410,0.349258731,20,0,0.619101597007036,185.64,0.996,5.836986292,"Not_Repaid",1,0,0,0
10370,0.596502105,21,0,0.132706004388974,0,1,6.886725655,"Repaid",1,0,0,0
16398,0.655447113,18,0,0.24244565405778,0,1,0.420750259,"Repaid",0,1,0,0
22058,0.719899825,21,1,0.282278596413885,0,1,4.242596992,"Repaid",0,0,1,0
26973,0.290703099,18,0,0.398399020628954,26.973,0.999,6.220892798,"Not_Repaid",1,0,0,0
24376,0.692731146,11,1,0.575828977700401,24.376,0.999,3.585636229,"Not_Repaid",0,1,0,0
12135,0.662002702,16,1,0.20053235374889,0,1,2.208004176,"Repaid",1,0,0,0
13052,0.729204772,9,1,0.374747801653336,0,1,0.79746539,"Not_Repaid",0,0,0,1
54195,0.487003417,21,1,0.690765081989296,216.78,0.996,5.577434686,"Not_Repaid",1,0,0,0
32503,0.699951464,20,1,0.434455206932117,65.006,0.998,5.129378043,"Repaid",0,1,0,0
19208,0.726545547,17,1,0.298520185283324,76.832,0.996,3.962117249,"Repaid",0,1,0,0
37050,0.703283635,6,1,1.57523036870291,111.15,0.997,4.964557023,"Not_Repaid",1,0,0,0
67002,0.674458955,20,0,0.89379541483873,268.008,0.996,1.204286641,"Repaid",1,0,0,0
10290,0.726695158,16,1,0.169533373408805,30.87,0.997,2.855961969,"Repaid",0,0,0,1
35747,0.713809616,6,1,1.52135598347114,71.494,0.998,0.688300835,"Not_Repaid",0,0,1,0
40729,0.484529573,6,1,1.73164798075306,122.187,0.997,5.734050378,"Not_Repaid",0,1,0,0
30520,0.657362039,6,1,1.29629717030718,122.08,0.996,5.017981034,"Not_Repaid",0,0,1,0
10575,0.393703,15,0,0.185795712740242,0,1,1.576753853,"Not_Repaid",1,0,0,0
60590,0.60036146,19,0,0.849742247386447,121.18,0.998,6.23094432248957,"Not_Repaid",1,0,0,0
11558,0.703917844,14,1,0.216644184256617,11.558,0.999,4.954552685,"Repaid",0,1,0,0
16401,0.692376169,15,1,0.287578346447604,32.802,0.998,6.064592118,"Repaid",1,0,0,0
19893,0.673419094,16,0,0.328734249124571,0,1,1.901390995,"Repaid",1,0,0,0
60010,0.685805558,7,1,2.19634491132419,120.02,0.998,0.213763502,"Repaid",1,0,0,0
17184,0.71609179,21,1,0.219685589145681,17.184,0.999,5.531448373,"Repaid",0,0,0,1
