"Feature","Gain","Cover","Frequency"
"loan_length",0.269261629482459,0.173934474774675,0.0961272475795297
"debt_to_income_ratio",0.225833525774134,0.20944951304535,0.191332411249424
"driver_tenure",0.170841569861404,0.186990139975656,0.18349469801752
"salary_range.0...20K..",0.139142478912149,0.0606738169964456,0.0272014753342554
"payment_to_income",0.0738295538942387,0.12662263351393,0.145689257722453
"repaid_loan_on_prev_car",0.0407203390669111,0.037451564638714,0.0357307514983864
"car_value",0.0372393720467709,0.0869221517466643,0.14407561088059
"downpayment_amount",0.0249416722233612,0.0677672025655267,0.107883817427386
"loan_to_value_ratio",0.00885431783153001,0.0211072598664305,0.0272014753342554
"salary_range.20K...40K..",0.00335519011720161,0.00416960233688931,0.0149838635315814
"salary_range.60K...",0.00299506652203009,0.0133413808868627,0.012217611802674
"salary_range.40K...60K..",0.00298528426781105,0.0115702596528555,0.0140617796219456
